ID,Course Title,Course Description,Training Company,Course Fee,Course Fee after Maximum Subsidiy,Course Type,Course Duration,Course Hours,No. of Learners,No. of Learners who Rated,Ratings out of 5,Year of Course Introduced
1,Nitec in Nursing,This course provides students with skills and knowledge to deliver nursing care to patients in various healthcare settings.,Institute Of Technical Education,860,0,Part time,More than 1 year,2800,,,,2015
2,Nitec in Opticianry,"The Nitec in Opticianry course provides students with the skills and knowledge in measuring and fitting of lenses and frames for clients, assisting clients with frame selection, preparing work orders for optical laboratory, fabricating lenses according to prescription, performing sales of optical products as well as administrative duties relevant to optical dispensing.",Institute Of Technical Education,860,0,Part time,More than 1 year,2800,,,,2015
3,Higher Nitec in Paramedic & Emergency Care,This course is to provide students with in-depth knowledge and skills to practise as a paramedic in a wide variety of pre-hospital care environments.,Institute Of Technical Education,885,0,Full Time and Part Time,More than 1 year,2100,,,,2015
4,Doctor of Medicine (MD),"The Duke-NUS Doctor of Medicine (MD) programme is developed with the mission to enable graduates to not only practice medicine, but also improve the practice of medicine in an evolving healthcare environment.
This programme spans 4 years, and graduates are awarded a joint Doctor of Medicine (MD) degree by Duke University and the National University of Singapore (NUS).

Pre-Clerkship Experience
The hallmark of the Duke-NUS pre-clerkship curriculum is in both the content and the TeamLEAD pedagogy. In alignment with the Duke University School of Medicine curriculum, Duke-NUS integrates the basic science content into one year of study rather than two as in most graduate medical schools. We value class time as an opportunity for students to apply knowledge obtained from preparatory materials (eg. Video-recorded lectures, readings etc.), in a way that fosters the critical skills and aptitudes necessary for future leaders of medicine: teamwork, leadership, and the pursuit of curiosity. Our dedicated teaching faculty are drawn from our Signature Research Programs and clinical affiliates.

Clerkship Experience
In their first clinical year, our students learn the fundamentals of patient care such as establishing rapport, respect and trust, and develop their clinical skills in history taking, physical exam and management of patients. During this broad-based exposure to the core specialties, students will experience the fundamentals of Pediatrics, Obstetrics and Gynecology, Neurology, Psychiatry, Surgery, and Medicine. Our hospital affiliates have a long and distinguished history of clinical teaching.

Research Experience
Duke-NUS students participate in a 9-month mentored research activity that allows them to explore cutting-edge scientific issues, and helps build the skills fundamental to becoming leaders in healthcare.",National University Of Singapore,306075,0,Part time,More than 1 year,6143,,,,2015
5,Doctor of Philosophy,"The MSc and PhD programmes are research-intensive programmes that emphasise both the mastery of research skills and the acquisition of core knowledge in a specified area of interest. Students will complete coursework and conduct independent research under the supervision of a faculty member. From Year 1, both MSc and PhD students will embark on their research projects, complete core courses and choose from a range of elective courses that cater to individual research interests. In Year 2, MSc students will start writing their thesis, while PhD students will complete a PhD Qualifying Examination (PQE) which assesses their ability to complete PhD requirements based on their academic progress and quality of their research. MSc students who wish to transfer to the PhD programme need to complete the PhD coursework requirements, and pass the PQE within 2 years.

In Years 3-5, PhD students will execute the rest of their research plans and submit and defend the thesis.",National University Of Singapore,211000,0,Part time,More than 1 year,7520,,,,2015
6,Master of Clinical Investigation,The primary aim of this programme is to grow the local clinician scientist / investigator talent pool by training clinicians with interest and aptitude in research.  The MCI programme provides essential didactic training for clinical research and will equip these clinicians with the basic analytical knowledge and skills needed to design and conduct clinical investigations that are relevant to patient care within their areas of specialisation.  This training will also allow practising clinicians to collaborate more effectively with other investigators in translational research projects.,National University Of Singapore,49346,0,Full Time,3-12 months,480,,,,2015
7,Master of Dental Surgery,To provide residency training programmes leading to postgraduate specialist qualification in dentistry.,National University Of Singapore,98650,0,Full Time,3-12 months,1182,,,,2015
8,Master of Public Health,"The Master of Public Health (MPH) is a professional degree that seeks to provide a rigorous and interdisciplinary approach to learning, with an emphasis on finding evidence-based and innovative solutions to the current and future public health challenges in Asia.
Leveraging on the NUS system and our close links with the regional health clusters, social service sectors, government ministries and non-profit organisations, our School ensures that research and teaching provided is both progressive and comprehensive.

MPH graduates are equipped to address both traditional and emerging public health issues, assuming leadership and administrative positions in diverse public health disciplines in local as well as international settings.",National University Of Singapore,94050,0,Full Time,3-12 months,1560,,,,2015
9,Master of Science (Speech and Language Pathology),The M.Sc. (SLP) programme is an entry-level training for the profession of Speech and Language Pathology. It is a 2-year full-time programme designed for graduates from any discipline who are seeking professional practice training as a speech and language pathologist.,National University Of Singapore,84700,0,Full Time,More than 1 year,2700,,,,2015
10,Bachelor of Science (Nursing),To register with the Singapore Nursing Board to practise as Registered Nurses,National University Of Singapore,104439,0,Full Time,More than 1 year,4613,,,,2015
